dose,state,year,age,val
"≥1 Dose, Females",New Hampshire,2018,13-17 Years,79.7
"≥2 Doses, Females",New Hampshire,2008,13-17 Years,45.5
"≥2 Doses, Females",New Hampshire,2011,13-17 Years,52.8
"≥2 Doses, Females",New Hampshire,2010,13-17 Years,46.9
"≥2 Doses, Females",New Hampshire,2009,13-17 Years,53.0
"≥2 Doses, Females",New Hampshire,2012,13-17 Years,43.6
"≥2 Doses, Females",New Hampshire,2013,13-17 Years,57.2
"≥1 Dose, Males and Females",New Hampshire,2017,13-17 Years,74.2
"≥1 Dose, Males and Females",New Hampshire,2016,13-17 Years,69.9
"≥1 Dose, Males and Females",New Hampshire,2019,13-17 Years,75.1
"≥1 Dose, Males and Females",New Hampshire,2018,13-17 Years,77.4
"≥1 Dose, Males",New Hampshire,2022,13-17 Years,85.7
"≥1 Dose, Males and Females",New Hampshire,2020,13-17 Years,82.5
"≥1 Dose, Males and Females",New Hampshire,2021,13-17 Years,84.6
"≥1 Dose, Males and Females",New Hampshire,2022,13-17 Years,85.7
"≥2 Doses, Females",New Hampshire,2017,13-17 Years,66.5
"≥2 Doses, Females",New Hampshire,2016,13-17 Years,62.7
"≥2 Doses, Females",New Hampshire,2015,13-17 Years,59.7
"≥2 Doses, Females",New Hampshire,2014,13-17 Years,61.2
"≥2 Doses, Females",New Hampshire,2019,13-17 Years,67.7
"≥2 Doses, Females",New Hampshire,2018,13-17 Years,68.3
"≥2 Doses, Males",New Hampshire,2018,13-17 Years,70.0
"≥2 Doses, Males",New Hampshire,2017,13-17 Years,60.4
"≥2 Doses, Males",New Hampshire,2016,13-17 Years,54.1
"≥2 Doses, Males",New Hampshire,2012,13-17 Years,12.2
"≥2 Doses, Males",New Hampshire,2013,13-17 Years,28.5
"≥2 Doses, Males",New Hampshire,2014,13-17 Years,46.9
"≥2 Doses, Males",New Hampshire,2015,13-17 Years,55.1
"≥3 Doses, Males",New Hampshire,2013,13-17 Years,17.8
"≥3 Doses, Males",New Hampshire,2015,13-17 Years,47.1
"≥3 Doses, Males",New Hampshire,2014,13-17 Years,33.0
"≥3 Doses, Females",New Hampshire,2010,13-17 Years,42.2
"≥3 Doses, Females",New Hampshire,2015,13-17 Years,51.4
"≥3 Doses, Females",New Hampshire,2009,13-17 Years,39.8
"≥3 Doses, Females",New Hampshire,2008,13-17 Years,23.2
"≥3 Doses, Females",New Hampshire,2012,13-17 Years,34.5
"≥3 Doses, Females",New Hampshire,2011,13-17 Years,46.0
"≥3 Doses, Females",New Hampshire,2014,13-17 Years,50.1
"≥3 Doses, Females",New Hampshire,2013,13-17 Years,43.2
"Up-to-Date, Males and Females",New Hampshire,2016,13-17 Years,51.2
"≥2 Doses, Males",New Hampshire,2019,13-17 Years,61.2
"Up-to-Date, Males and Females",New Hampshire,2019,13-17 Years,63.2
"Up-to-Date, Males and Females",New Hampshire,2020,13-17 Years,68.8
"Up-to-Date, Males and Females",New Hampshire,2021,13-17 Years,72.3
"Up-to-Date, Males and Females",New Hampshire,2022,13-17 Years,76.2
"Up-to-Date, Males and Females",New Hampshire,2018,13-17 Years,67.4
"Up-to-Date, Males and Females",New Hampshire,2017,13-17 Years,59.9
"≥2 Doses, Males",Colorado,2022,13-17 Years,65.1
"≥2 Doses, Males and Females",Colorado,2022,13-17 Years,67.2
"≥1 Dose, Females",Colorado,2008,13-17 Years,33.5
"≥1 Dose, Females",Colorado,2011,13-17 Years,45.9
"≥1 Dose, Females",Colorado,2010,13-17 Years,52.5
"≥1 Dose, Females",Colorado,2012,13-17 Years,61.4
"≥1 Dose, Females",Colorado,2013,13-17 Years,58.2
"≥1 Dose, Females",Colorado,2014,13-17 Years,62.5
"≥1 Dose, Females",Colorado,2015,13-17 Years,65.3
"≥3 Doses, Females",Colorado,2015,13-17 Years,46.0
"Up-to-Date, Males and Females",Colorado,2017,13-17 Years,53.8
"Up-to-Date, Males and Females",Colorado,2018,13-17 Years,62.5
"Up-to-Date, Males and Females",Colorado,2019,13-17 Years,63.5
"Up-to-Date, Males and Females",Colorado,2016,13-17 Years,48.0
"≥2 Doses, Males",Colorado,2019,13-17 Years,62.2
"Up-to-Date, Males and Females",Colorado,2022,13-17 Years,65.7
"Up-to-Date, Males and Females",Colorado,2021,13-17 Years,69.2
"Up-to-Date, Males and Females",Colorado,2020,13-17 Years,66.4
"≥3 Doses, Males",Colorado,2013,13-17 Years,9.9
"≥3 Doses, Males",Colorado,2014,13-17 Years,21.9
"≥3 Doses, Males",Colorado,2015,13-17 Years,37.1
"≥3 Doses, Females",Colorado,2012,13-17 Years,38.0
"≥3 Doses, Females",Colorado,2013,13-17 Years,39.1
"≥3 Doses, Females",Colorado,2014,13-17 Years,42.1
"≥3 Doses, Females",Colorado,2010,13-17 Years,40.9
"≥3 Doses, Females",Colorado,2011,13-17 Years,25.3
"≥3 Doses, Females",Colorado,2008,13-17 Years,19.0
"≥3 Doses, Females",Colorado,2009,13-17 Years,32.5
"≥3 Doses, Males and Females",Colorado,2015,13-17 Years,41.4
"≥3 Doses, Males and Females",Colorado,2014,13-17 Years,31.8
"≥3 Doses, Males and Females",Colorado,2013,13-17 Years,24.2
"≥3 Doses, Males and Females",Colorado,2012,13-17 Years,25.7
"≥3 Doses, Males and Females",Colorado,2011,13-17 Years,13.9
"≥1 Dose, Males",Colorado,2016,13-17 Years,58.8
"≥1 Dose, Males",Colorado,2015,13-17 Years,63.2
"≥1 Dose, Males",Colorado,2013,13-17 Years,33.5
"≥1 Dose, Males",Colorado,2014,13-17 Years,40.7
"≥2 Doses, Males and Females",Colorado,2017,13-17 Years,57.3
"≥2 Doses, Males and Females",Colorado,2016,13-17 Years,52.1
"≥2 Doses, Males and Females",Colorado,2018,13-17 Years,66.0
"≥2 Doses, Males and Females",Colorado,2019,13-17 Years,68.8
"≥1 Dose, Males",Colorado,2011,13-17 Years,13.6
"≥1 Dose, Females",Colorado,2022,13-17 Years,81.1
"≥1 Dose, Females",Colorado,2021,13-17 Years,82.1
"≥1 Dose, Females",Colorado,2020,13-17 Years,81.2
"≥1 Dose, Males",Colorado,2012,13-17 Years,31.3
"≥1 Dose, Females",Colorado,2019,13-17 Years,85.1
"≥1 Dose, Females",Colorado,2017,13-17 Years,74.4
"≥1 Dose, Females",Colorado,2016,13-17 Years,68.3
"≥1 Dose, Females",Colorado,2018,13-17 Years,72.3
"≥1 Dose, Females",Colorado,2009,13-17 Years,52.7
"≥1 Dose, Males",Colorado,2021,13-17 Years,78.0
"≥1 Dose, Males",Colorado,2020,13-17 Years,81.9
"≥1 Dose, Males",Colorado,2019,13-17 Years,75.6
"≥1 Dose, Males",Colorado,2017,13-17 Years,69.8
"≥1 Dose, Males",Colorado,2018,13-17 Years,81.9
"≥1 Dose, Males and Females",Colorado,2017,13-17 Years,72.1
"≥1 Dose, Males and Females",Colorado,2016,13-17 Years,63.5
"≥1 Dose, Males and Females",Colorado,2018,13-17 Years,77.2
"≥2 Doses, Females",Colorado,2008,13-17 Years,24.5
"≥2 Doses, Females",Colorado,2012,13-17 Years,44.9
"≥2 Doses, Females",Colorado,2013,13-17 Years,50.0
"≥1 Dose, Males and Females",Colorado,2019,13-17 Years,80.2
"≥1 Dose, Males",Colorado,2022,13-17 Years,78.3
"≥2 Doses, Females",Colorado,2010,13-17 Years,46.2
"≥2 Doses, Females",Colorado,2011,13-17 Years,32.9
"≥2 Doses, Females",Colorado,2009,13-17 Years,42.7
"≥2 Doses, Females",Colorado,2014,13-17 Years,55.1
"≥1 Dose, Males and Females",Colorado,2022,13-17 Years,79.7
"≥1 Dose, Males and Females",Colorado,2021,13-17 Years,80.0
"≥1 Dose, Males and Females",Colorado,2020,13-17 Years,81.6
"≥2 Doses, Females",Colorado,2017,13-17 Years,54.1
"≥2 Doses, Females",Colorado,2016,13-17 Years,54.1
"≥2 Doses, Females",Colorado,2015,13-17 Years,57.7
"≥2 Doses, Females",Colorado,2018,13-17 Years,62.4
"≥2 Doses, Females",Colorado,2019,13-17 Years,75.6
"≥2 Doses, Males",Colorado,2017,13-17 Years,60.3
"≥2 Doses, Males",Colorado,2016,13-17 Years,50.2
"≥2 Doses, Males",Colorado,2018,13-17 Years,69.5
"≥2 Doses, Males",Colorado,2014,13-17 Years,30.8
"≥2 Doses, Males",Colorado,2013,13-17 Years,21.7
"≥2 Doses, Males",Colorado,2015,13-17 Years,52.7
"Up-to-Date, Females",Colorado,2017,13-17 Years,53.1
"Up-to-Date, Females",Colorado,2018,13-17 Years,59.0
"Up-to-Date, Females",Colorado,2019,13-17 Years,70.4
"Up-to-Date, Females",Colorado,2020,13-17 Years,69.4
"Up-to-Date, Males",Colorado,2016,13-17 Years,44.0
"Up-to-Date, Males",Colorado,2017,13-17 Years,54.4
"Up-to-Date, Females",Colorado,2022,13-17 Years,69.4
"Up-to-Date, Females",Colorado,2021,13-17 Years,68.6
"Up-to-Date, Males",Colorado,2021,13-17 Years,69.8
"Up-to-Date, Males",Colorado,2018,13-17 Years,65.8
"Up-to-Date, Males",Colorado,2019,13-17 Years,56.9
"Up-to-Date, Males",Colorado,2020,13-17 Years,63.6
"Up-to-Date, Males",Colorado,2022,13-17 Years,62.3
"Up-to-Date, Females",Colorado,2016,13-17 Years,52.1
"≥1 Dose, Females",Nebraska,2023,13-17 Years,82.3
"Up-to-Date, Females",Nebraska,2023,13-17 Years,67.9
"Up-to-Date, Males",Nebraska,2023,13-17 Years,66.9
"Up-to-Date, Males and Females",Nebraska,2023,13-17 Years,67.4
"≥1 Dose, Males and Females",Nebraska,2023,13-17 Years,83.9
"≥1 Dose, Males",Nebraska,2023,13-17 Years,85.4
"≥2 Doses, Males",Nebraska,2022,13-17 Years,73.9
"≥2 Doses, Males and Females",Nebraska,2022,13-17 Years,65.8
"≥3 Doses, Males and Females",Nebraska,2012,13-17 Years,21.7
"≥3 Doses, Males and Females",Nebraska,2011,13-17 Years,16.6
"≥3 Doses, Males and Females",Nebraska,2013,13-17 Years,30.3
"≥3 Doses, Males and Females",Nebraska,2015,13-17 Years,40.0
"≥3 Doses, Males and Females",Nebraska,2014,13-17 Years,32.8
"≥2 Doses, Females",Nebraska,2022,13-17 Years,57.1
"≥1 Dose, Males",Nebraska,2020,13-17 Years,82.9
"≥1 Dose, Males",Nebraska,2021,13-17 Years,79.7
"≥1 Dose, Males",Nebraska,2018,13-17 Years,70.9
"≥1 Dose, Males",Nebraska,2012,13-17 Years,19.6
"≥2 Doses, Males and Females",Nebraska,2018,13-17 Years,64.4
"≥1 Dose, Females",Nebraska,2019,13-17 Years,74.0
"≥1 Dose, Females",Nebraska,2020,13-17 Years,82.3
"≥1 Dose, Females",Nebraska,2021,13-17 Years,85.9
"≥1 Dose, Females",Nebraska,2022,13-17 Years,76.2
"≥1 Dose, Males",Nebraska,2011,13-17 Years,14.2
"≥2 Doses, Males and Females",Nebraska,2017,13-17 Years,62.8
"≥2 Doses, Males and Females",Nebraska,2016,13-17 Years,52.1
"≥1 Dose, Males",Nebraska,2019,13-17 Years,73.9
"≥1 Dose, Males",Nebraska,2017,13-17 Years,70.0
"≥1 Dose, Males",Nebraska,2016,13-17 Years,58.3
"≥1 Dose, Males",Nebraska,2015,13-17 Years,54.3
"≥1 Dose, Males",Nebraska,2014,13-17 Years,39.5
"≥1 Dose, Males",Nebraska,2013,13-17 Years,38.2
"≥2 Doses, Males and Females",Nebraska,2019,13-17 Years,62.5
"≥1 Dose, Females",Nebraska,2008,13-17 Years,29.5
"≥1 Dose, Females",Nebraska,2017,13-17 Years,72.0
"≥1 Dose, Females",Nebraska,2016,13-17 Years,69.4
"≥2 Doses, Females",Nebraska,2008,13-17 Years,24.4
"≥1 Dose, Females",Nebraska,2018,13-17 Years,80.6
"≥2 Doses, Females",Nebraska,2011,13-17 Years,40.6
"≥2 Doses, Females",Nebraska,2010,13-17 Years,48.5
"≥2 Doses, Females",Nebraska,2009,13-17 Years,40.7
"≥2 Doses, Females",Nebraska,2012,13-17 Years,58.3
"≥2 Doses, Females",Nebraska,2013,13-17 Years,55.3
"≥1 Dose, Males and Females",Nebraska,2017,13-17 Years,71.0
"≥1 Dose, Males and Females",Nebraska,2016,13-17 Years,63.7
"≥1 Dose, Males and Females",Nebraska,2019,13-17 Years,73.9
"≥1 Dose, Males and Females",Nebraska,2018,13-17 Years,75.6
"≥1 Dose, Males",Nebraska,2022,13-17 Years,85.7
"≥1 Dose, Males and Females",Nebraska,2020,13-17 Years,82.6
"≥1 Dose, Males and Females",Nebraska,2021,13-17 Years,82.7
"≥1 Dose, Males and Females",Nebraska,2022,13-17 Years,81.1
"≥2 Doses, Females",Nebraska,2017,13-17 Years,63.3
"≥2 Doses, Females",Nebraska,2016,13-17 Years,54.8
"≥2 Doses, Females",Nebraska,2015,13-17 Years,55.5
"≥2 Doses, Females",Nebraska,2014,13-17 Years,51.2
"≥2 Doses, Females",Nebraska,2018,13-17 Years,68.0
"≥2 Doses, Females",Nebraska,2019,13-17 Years,63.0
"≥2 Doses, Males",Nebraska,2018,13-17 Years,60.9
"≥2 Doses, Males",Nebraska,2017,13-17 Years,62.3
"≥2 Doses, Males",Nebraska,2016,13-17 Years,49.4
"≥2 Doses, Males",Nebraska,2012,13-17 Years,11.6
"≥2 Doses, Males",Nebraska,2013,13-17 Years,26.4
"≥2 Doses, Males",Nebraska,2014,13-17 Years,31.0
"≥2 Doses, Males",Nebraska,2015,13-17 Years,46.9
"≥1 Dose, Females",Nebraska,2009,13-17 Years,49.4
"≥1 Dose, Females",Nebraska,2010,13-17 Years,52.3
"≥1 Dose, Females",Nebraska,2011,13-17 Years,59.0
"≥1 Dose, Females",Nebraska,2012,13-17 Years,67.5
"≥1 Dose, Females",Nebraska,2013,13-17 Years,65.1
"≥1 Dose, Females",Nebraska,2014,13-17 Years,59.6
"≥1 Dose, Females",Nebraska,2015,13-17 Years,67.3
"≥3 Doses, Males",Nebraska,2013,13-17 Years,19.7
"≥3 Doses, Males",Nebraska,2012,13-17 Years,7.0
"≥3 Doses, Males",Nebraska,2015,13-17 Years,32.2
"≥3 Doses, Males",Nebraska,2014,13-17 Years,22.8
"Up-to-Date, Males",New Hampshire,2016,13-17 Years,46.3
"Up-to-Date, Females",New Hampshire,2020,13-17 Years,71.8
"Up-to-Date, Females",New Hampshire,2021,13-17 Years,77.0
"Up-to-Date, Females",New Hampshire,2022,13-17 Years,76.6
"Up-to-Date, Females",New Hampshire,2019,13-17 Years,67.4
"Up-to-Date, Females",New Hampshire,2018,13-17 Years,66.4
"Up-to-Date, Females",New Hampshire,2016,13-17 Years,56.5
"Up-to-Date, Females",New Hampshire,2017,13-17 Years,63.0
"Up-to-Date, Males",New Hampshire,2019,13-17 Years,59.1
"Up-to-Date, Males",New Hampshire,2020,13-17 Years,65.8
"Up-to-Date, Males",New Hampshire,2017,13-17 Years,56.9
"Up-to-Date, Males",New Hampshire,2018,13-17 Years,68.5
"Up-to-Date, Males",New Hampshire,2022,13-17 Years,75.9
"Up-to-Date, Males",New Hampshire,2021,13-17 Years,67.8
"Up-to-Date, Females",Minnesota,2023,13-17 Years,72.3
"Up-to-Date, Males",Minnesota,2023,13-17 Years,66.1
"Up-to-Date, Males and Females",Minnesota,2023,13-17 Years,69.2
"≥1 Dose, Females",Minnesota,2023,13-17 Years,83.6
"≥1 Dose, Males and Females",Minnesota,2023,13-17 Years,84.2
"≥1 Dose, Males",Minnesota,2023,13-17 Years,84.7
"≥2 Doses, Males and Females",Minnesota,2022,13-17 Years,69.8
"≥2 Doses, Males",Minnesota,2022,13-17 Years,73.5
"≥2 Doses, Females",Minnesota,2022,13-17 Years,65.8
"≥3 Doses, Males and Females",Minnesota,2012,13-17 Years,18.1
"≥3 Doses, Males and Females",Minnesota,2011,13-17 Years,17.6
"≥3 Doses, Males and Females",Minnesota,2013,13-17 Years,22.7
"≥3 Doses, Males and Females",Minnesota,2015,13-17 Years,33.2
"≥3 Doses, Males and Females",Minnesota,2014,13-17 Years,27.7
"≥3 Doses, Females",Minnesota,2014,13-17 Years,42.5
"≥3 Doses, Females",Minnesota,2013,13-17 Years,37.6
"≥3 Doses, Females",Minnesota,2015,13-17 Years,44.5
"≥3 Doses, Females",Minnesota,2012,13-17 Years,33.1
"≥3 Doses, Females",Minnesota,2011,13-17 Years,35.1
"≥3 Doses, Females",Minnesota,2009,13-17 Years,27.0
"≥3 Doses, Females",Minnesota,2008,13-17 Years,14.7
"≥3 Doses, Females",Minnesota,2010,13-17 Years,37.8
"≥3 Doses, Males",Minnesota,2013,13-17 Years,8.6
"≥3 Doses, Males",Minnesota,2014,13-17 Years,13.6
"≥3 Doses, Males",Minnesota,2015,13-17 Years,22.4
"≥1 Dose, Females",Minnesota,2008,13-17 Years,33.6
"≥2 Doses, Females",Minnesota,2019,13-17 Years,68.6
"≥2 Doses, Males",Minnesota,2014,13-17 Years,36.6
"≥2 Doses, Males",Minnesota,2013,13-17 Years,13.1
"≥2 Doses, Females",Minnesota,2018,13-17 Years,65.8
"≥2 Doses, Females",Minnesota,2017,13-17 Years,50.8
"≥2 Doses, Females",Minnesota,2016,13-17 Years,52.4
"≥2 Doses, Females",Minnesota,2015,13-17 Years,51.3
"≥2 Doses, Females",Minnesota,2014,13-17 Years,53.9
"≥1 Dose, Males and Females",Minnesota,2020,13-17 Years,81.0
"≥1 Dose, Males and Females",Minnesota,2021,13-17 Years,79.9
"≥1 Dose, Males and Females",Minnesota,2022,13-17 Years,86.9
"≥2 Doses, Females",Minnesota,2012,13-17 Years,46.0
"≥2 Doses, Females",Minnesota,2013,13-17 Years,45.8
"≥2 Doses, Females",Minnesota,2011,13-17 Years,46.0
"≥2 Doses, Females",Minnesota,2010,13-17 Years,43.3
"≥2 Doses, Females",Minnesota,2009,13-17 Years,34.7
"≥1 Dose, Males and Females",Minnesota,2018,13-17 Years,76.7
"≥1 Dose, Males and Females",Minnesota,2017,13-17 Years,68.1
"≥1 Dose, Males and Females",Minnesota,2016,13-17 Years,59.1
"≥2 Doses, Females",Minnesota,2008,13-17 Years,27.9
"≥1 Dose, Males and Females",Minnesota,2019,13-17 Years,73.8
"≥1 Dose, Females",Minnesota,2009,13-17 Years,44.9
"≥1 Dose, Females",Minnesota,2012,13-17 Years,59.4
"≥1 Dose, Females",Minnesota,2013,13-17 Years,59.3
"≥1 Dose, Females",Minnesota,2014,13-17 Years,67.0
"≥1 Dose, Females",Minnesota,2015,13-17 Years,65.5
"≥1 Dose, Females",Minnesota,2010,13-17 Years,51.3
"≥1 Dose, Females",Minnesota,2011,13-17 Years,55.5
"≥2 Doses, Males and Females",Minnesota,2019,13-17 Years,61.5
"≥1 Dose, Males",Minnesota,2020,13-17 Years,80.1
"≥1 Dose, Males",Minnesota,2021,13-17 Years,75.1
"≥1 Dose, Males",Minnesota,2019,13-17 Years,71.9
"≥1 Dose, Males",Minnesota,2016,13-17 Years,60.1
"≥1 Dose, Males",Minnesota,2015,13-17 Years,57.1
"≥1 Dose, Males",Minnesota,2014,13-17 Years,43.9
"≥1 Dose, Males",Minnesota,2013,13-17 Years,22.0
"≥2 Doses, Males and Females",Minnesota,2017,13-17 Years,50.6
"≥2 Doses, Males and Females",Minnesota,2016,13-17 Years,48.8
"≥1 Dose, Females",Minnesota,2017,13-17 Years,66.0
"≥1 Dose, Females",Minnesota,2016,13-17 Years,58.1
"≥1 Dose, Females",Minnesota,2018,13-17 Years,84.9
"≥1 Dose, Males",Minnesota,2022,13-17 Years,88.0
"≥1 Dose, Males",Minnesota,2017,13-17 Years,70.1
"≥1 Dose, Females",Minnesota,2019,13-17 Years,75.8
"≥2 Doses, Males and Females",Minnesota,2018,13-17 Years,63.1
"≥1 Dose, Females",Minnesota,2020,13-17 Years,81.9
"≥1 Dose, Females",Minnesota,2021,13-17 Years,84.8
"≥1 Dose, Females",Minnesota,2022,13-17 Years,85.8
"≥1 Dose, Males",Minnesota,2012,13-17 Years,15.2
"≥1 Dose, Males",Minnesota,2018,13-17 Years,68.8
"Up-to-Date, Males and Females",Minnesota,2019,13-17 Years,56.8
"Up-to-Date, Males and Females",Minnesota,2020,13-17 Years,69.2
"Up-to-Date, Males and Females",Minnesota,2021,13-17 Years,65.7
"Up-to-Date, Males and Females",Minnesota,2022,13-17 Years,68.6
"≥2 Doses, Males",Minnesota,2019,13-17 Years,54.7
"Up-to-Date, Males and Females",Minnesota,2017,13-17 Years,46.9
"Up-to-Date, Males and Females",Minnesota,2018,13-17 Years,58.8
"Up-to-Date, Males and Females",Minnesota,2016,13-17 Years,44.1
"≥2 Doses, Males",Minnesota,2017,13-17 Years,50.4
"≥2 Doses, Males",Minnesota,2016,13-17 Years,45.3
"≥2 Doses, Males",Minnesota,2018,13-17 Years,60.6
"≥2 Doses, Males",Minnesota,2015,13-17 Years,36.2
"Up-to-Date, Females",Florida,2016,13-17 Years,46.4
"Up-to-Date, Females",Florida,2017,13-17 Years,45.3
"Up-to-Date, Females",Florida,2018,13-17 Years,52.9
"Up-to-Date, Females",Florida,2019,13-17 Years,55.5
"Up-to-Date, Females",Florida,2022,13-17 Years,64.4
"Up-to-Date, Females",Florida,2021,13-17 Years,49.1
"Up-to-Date, Females",Florida,2020,13-17 Years,52.7
"Up-to-Date, Males",Florida,2017,13-17 Years,39.4
"Up-to-Date, Males",Florida,2016,13-17 Years,34.5
"Up-to-Date, Males",Florida,2018,13-17 Years,40.5
"Up-to-Date, Males",Florida,2019,13-17 Years,56.4
"Up-to-Date, Males",Florida,2020,13-17 Years,50.5
"≥1 Dose, Females",Florida,2011,13-17 Years,50.0
"≥1 Dose, Females",Florida,2010,13-17 Years,41.1
"≥1 Dose, Females",Florida,2012,13-17 Years,39.4
"≥1 Dose, Females",Florida,2013,13-17 Years,49.7
"≥1 Dose, Females",Florida,2014,13-17 Years,57.2
"≥1 Dose, Females",Florida,2015,13-17 Years,62.5
"≥3 Doses, Males",Florida,2013,13-17 Years,13.2
"≥3 Doses, Males",Florida,2014,13-17 Years,17.5
"≥3 Doses, Males",Florida,2015,13-17 Years,19.8
"≥3 Doses, Females",Florida,2011,13-17 Years,35.3
"≥3 Doses, Females",Florida,2012,13-17 Years,25.3
"≥3 Doses, Females",Florida,2013,13-17 Years,34.3
"≥3 Doses, Females",Florida,2014,13-17 Years,28.5
"Up-to-Date, Males and Females",Florida,2017,13-17 Years,42.3
"Up-to-Date, Males and Females",Florida,2018,13-17 Years,46.5
"Up-to-Date, Males and Females",Florida,2019,13-17 Years,56.0
"Up-to-Date, Males and Females",Florida,2016,13-17 Years,40.4
"≥2 Doses, Males",Florida,2019,13-17 Years,58.0
"Up-to-Date, Males and Females",Florida,2022,13-17 Years,58.9
"Up-to-Date, Males and Females",Florida,2021,13-17 Years,49.0
"Up-to-Date, Males and Females",Florida,2020,13-17 Years,51.6
"≥3 Doses, Females",Florida,2015,13-17 Years,36.8
"≥3 Doses, Females",Florida,2010,13-17 Years,24.9
"≥3 Doses, Females",Florida,2008,13-17 Years,20.2
"≥3 Doses, Females",Florida,2009,13-17 Years,24.6
"Up-to-Date, Males",Florida,2021,13-17 Years,48.8
"Up-to-Date, Males",Florida,2022,13-17 Years,53.5
"Up-to-Date, Females",Oklahoma,2022,13-17 Years,46.5
"Up-to-Date, Females",Oklahoma,2021,13-17 Years,55.1
"Up-to-Date, Females",Oklahoma,2017,13-17 Years,45.6
"Up-to-Date, Females",Oklahoma,2016,13-17 Years,43.6
"Up-to-Date, Females",Oklahoma,2019,13-17 Years,42.4
"Up-to-Date, Females",Oklahoma,2018,13-17 Years,43.9
"Up-to-Date, Females",Oklahoma,2020,13-17 Years,47.0
"Up-to-Date, Males",Oklahoma,2019,13-17 Years,41.2
"Up-to-Date, Males",Oklahoma,2020,13-17 Years,44.6
"Up-to-Date, Males",Oklahoma,2017,13-17 Years,37.5
"Up-to-Date, Males",Oklahoma,2018,13-17 Years,32.1
"Up-to-Date, Males",Oklahoma,2022,13-17 Years,45.8
"Up-to-Date, Males",Oklahoma,2016,13-17 Years,35.0
"≥3 Doses, Males",Oklahoma,2013,13-17 Years,17.3
"≥3 Doses, Males",Oklahoma,2012,13-17 Years,10.6
"≥3 Doses, Males",Oklahoma,2014,13-17 Years,19.9
